Registration Group,Support Item Number,Support Item,Support Item Description,Unit of Measure,Quote,Price Limit,Price Control,Support Categories,Support Category Number
Accommodation / Tenancy Assistance,01_001_0101_1_1,Transitional Support,Transition to NDIS funding – payment of rent and utility accounts. Short term payment as per participant plan.,EA,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_002_0107_1_1,Assistance With Self-Care - Active Overnight - Standard,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed and the care giver will not have the option to sleep.",H,N,54.54,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_003_0107_1_1,Assistance From Live-In Carer,"A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_004_0107_1_1,Assistance With Personal Domestic Activities,Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home and/or has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house and yard work.,H,N,47.88,Y,Assistance with daily life (includes Supported Independent Living),01
High Intensity Daily Personal Activities (Assist Integrate School/Ed),01_005_0104_1_1,Assistance With Self-Care Activities - Complex - Public Holiday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,107.33,Y,Assistance with daily life (includes Supported Independent Living),01
High Intensity Daily Personal Activities (Assist Integrate School/Ed),01_006_0104_1_1,Assistance With Self-Care Activities - Complex - Saturday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,69.38,Y,Assistance with daily life (includes Supported Independent Living),01
High Intensity Daily Personal Activities (Assist Integrate School/Ed),01_007_0104_1_1,Assistance With Self-Care Activities - Complex - Sunday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,88.09,Y,Assistance with daily life (includes Supported Independent Living),01
High Intensity Daily Personal Activities (Assist Integrate School/Ed),01_008_0104_1_1,Assistance With Self-Care Activities - Complex - Weekday Daytime,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,51.18,Y,Assistance with daily life (includes Supported Independent Living),01
High Intensity Daily Personal Activities (Assist Integrate School/Ed),01_009_0104_1_1,Assistance With Self-Care Activities - Complex - Weekday Evening,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,55.73,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_010_0107_1_1,Assistance With Self-Care - Night-Time Sleepover,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support.",EA,N,204.81,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,49.02,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,104.2,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,67.43,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,85.8,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,53.64,Y,Assistance with daily life (includes Supported Independent Living),01
High Intensity Daily Personal Activities (Assist Integrate School/Ed),01_016_0104_1_1,Specialised Home Based Assistance For A Child,Specialist assistance in the home required due to additional requirements of a child’s disability; may be provided to strengthen the sustainability of informal supports.,H,N,47.88,Y,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_017_0107_1_1,On-Call Overnight Monitoring - Off Site Or Onsite (Inc. 1 Hr Assist),"Overnight on-call assistance with, or supervision of, personal tasks of daily living.",EA,Y,,N,Assistance with daily life (includes Supported Independent Living),01
High Intensity Daily Personal Activities (Assist Integrate School/Ed),01_018_0104_1_1,Assistance With Self-Care - Active Overnight - Complex,"Assistance with, or supervision of, personal tasks of daily living where intensive overnight support is needed and the care giver will not have the option to sleep.",H,N,56.63,Y,Assistance with daily life (includes Supported Independent Living),01
Household Tasks,01_019_0120_1_1,House And/Or Yard Maintenance,Performing essential house and/or yard activities that the participant is not able to undertake.,H,N,46.2,Y,Assistance with daily life (includes Supported Independent Living),01
