"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure n","Unit of Measure n+1","Quote n","Quote n+1","Price Limit n","Price Limit n+1","Price Control n","Price Control n+1","Line number n","Line number n+1"
"01_001_0101_1_1","transitional support","Transition to NDIS funding � payment of rent and utility accounts. Short term payment as per participant plan","Assistance with daily life (includes Supported Independent Living)","Each","EA","Y","Y","","","N","N",0,0
"01_002_0107_1_1","assistance with self-care - active overnight","Assistance with, or supervision of, personal tasks of daily living where  overnight support is needed and the care giver will not have the option to sleep","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","50.67","54.54","Y","Y",1,1
"01_003_0107_1_1","assistance from live-in carer","A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","Y","Y","","","N","N",2,2
"01_004_0107_1_1","assistance with personal domestic activities","Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home & has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house & yard work.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","45.54","47.88","Y","Y",3,3
"01_005_0104_1_1","assistance with self-care activities on Public Holidays - higher intensity","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","102.08","107.33","Y","Y",4,4
"01_006_0104_1_1","assistance with self-care activities on Saturdays - higher intensity","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","65.99","69.38","Y","Y",5,5
"01_007_0104_1_1","assistance with self-care activities on Sundays - higher intensity","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","83.78","88.09","Y","Y",6,6
"01_008_0104_1_1","assistance with self-care activities during daytime weekdays - higher intensity","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","48.68","51.18","Y","Y",7,7
"01_009_0104_1_1","assistance with self-care activities per weekday evening - higher intensity","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","53","55.73","Y","Y",8,8
"01_010_0107_1_1","assistance with self-care - night-time sleepover","Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support.","Assistance with daily life (includes Supported Independent Living)","Each","EA","N","N","194.79","204.81","Y","Y",9,9
"01_011_0107_1_1","assistance with self-care activities during daytime weekdays","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","45.54","49.02","Y","Y",10,10
"01_012_0107_1_1","assistance with self-care activities on Public Holidays","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","96.8","104.2","Y","Y",11,11
"01_013_0107_1_1","assistance with self-care activities on Saturdays","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","62.64","67.43","Y","Y",12,12
"01_014_0107_1_1","assistance with self-care activities on Sundays","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","79.71","85.8","Y","Y",13,13
"01_015_0107_1_1","assistance with self-care activities per weekday evening","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","49.83","53.64","Y","Y",14,14
"01_016_0104_1_1","specialised home based assistance for a child","Specialist assistance in the home required due to additional requirements of the child�s disability; may be provided to strengthen the sustainability of informal supports.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","45.54","47.88","Y","Y",15,15
"01_017_0107_1_1","o/n monitoring of self-care - off site or onsite, on call (incl 1 hr assist)","Overnight on-call assistance with, or supervision of, personal tasks of daily living.","Assistance with daily life (includes Supported Independent Living)","Each","EA","Y","Y","","","N","N",16,16
"01_018_0104_1_1","assistance with self-care - overnight - higher intensity","Assistance with, or supervision of, personal tasks of daily living where intensive overnight support is needed and the care giver will not have the option to sleep","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","53.86","56.63","Y","Y",17,17
"01_019_0120_1_1","house and/or yard maintenance","Performing essential house and or yard activities that the participant is not able to undertake.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","43.94","46.2","Y","Y",18,18
"01_020_0120_1_1","house cleaning and other household activities","Performing essential house cleaning activities that the participant is not able to undertake.","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","44.74","47.04","Y","Y",19,19
"01_021_0120_1_1","linen service","Provision of clean linen to a participant unable to do their own laundry without assistance.","Assistance with daily life (includes Supported Independent Living)","Each","EA","Y","Y","","","N","N",20,20
"01_022_0120_1_1","assistance with the cost of preparation and delivery of meals","Preparation and delivery of meals to a participant who is unable to do this themselves, and is not in receipt of other supports that would meet the same need. Food costs not included. Cost varies with the number of meals prepared and deliveries required.","Assistance with daily life (includes Supported Independent Living)","Each","EA","Y","Y","11.61","","N","N",21,21
"01_026_0115_1_1","assistance in living arrangements (host family/alternative family situation)","Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.","Assistance with daily life (includes Supported Independent Living)","Day","D","Y","Y","","","N","N",22,22
"01_027_0115_1_1","assistance in a shared living arrangement (hourly rate per person )","Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported.","Assistance with daily life (includes Supported Independent Living)","Each","EA","Y","Y","","","N","N",23,23
"01_028_0115_1_1","assistance in a shared living arrangement for 2 persons - complex needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","5023.46","","Benchmark","N",24,24
"01_029_0115_1_1","assistance in a shared living arrangement for 3 persons - complex needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","4350.44","","Benchmark","N",25,25
"01_030_0115_1_1","assistance in a shared living arrangement for 4 persons - complex needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","3453.85","","Benchmark","N",26,26
"01_031_0115_1_1","assistance in a shared living arrangement for 5 persons - complex needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","3036.31","","Benchmark","N",27,27
"01_032_0115_1_1","assistance in a shared living arrangement for 6 persons - complex needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","2722.86","","Benchmark","N",28,28
"01_033_0115_1_1","assistance in a shared living arrangement for 7 persons or more - complex needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","2722.86","","Benchmark","N",29,29
"01_034_0115_1_1","assistance in a shared living arrangement for 2 persons - standard","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","3879.68","","Benchmark","N",30,30
"01_035_0115_1_1","assistance in a shared living arrangement for 3 persons - standard","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","3203.09","","Benchmark","N",31,31
"01_036_0115_1_1","assistance in a shared living arrangement for 4 persons - standard","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","2481.57","","Benchmark","N",32,32
"01_037_0115_1_1","assistance in a shared living arrangement for 5 persons - standard","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","2376.3","","Benchmark","N",33,33
"01_038_0115_1_1","assistance in a shared living arrangement for 6 persons - standard","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","2302.95","","Benchmark","N",34,34
"01_039_0115_1_1","assistance in a shared living arrangement for 7 persons or more - standard","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","2302.95","","Benchmark","N",35,35
"01_040_0115_1_1","assistance in a shared living arrangement for 3 persons - lower needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","1963.49","","Benchmark","N",36,36
"01_041_0115_1_1","assistance in a shared living arrangement for 4 persons - lower needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","1950.48","","Benchmark","N",37,37
"01_042_0115_1_1","assistance in a shared living arrangement for 5 persons - lower needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","1896.08","","Benchmark","N",38,38
"01_043_0115_1_1","assistance in a shared living arrangement for 6 persons - lower needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","1751.76","","Benchmark","N",39,39
"01_044_0115_1_1","assistance in a shared living arrangement for 7 persons or more - lower needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","1751.76","","Benchmark","N",40,40
"01_045_0115_1_1","short term accommodation and assistance, weekday, standard intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","503","522.8","Y","Y",41,41
"01_046_0115_1_1","assistance in individual living arrangement for person with complex needs","","Assistance with daily life (includes Supported Independent Living)","Each","EA","Y","Y","","","N","N",42,42
"01_047_0115_1_1","assistance in a shared living arrangement for 2 persons - lower needs","Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.","Assistance with daily life (includes Supported Independent Living)","Week","WK","Y","Y","2258.02","","Benchmark","N",43,43
"01_049_0107_1_1","Establishment Fee for Personal Care/Community Access","Establishment Fee for Personal Care/Community Access (20 hours per month).","Assistance with daily life (includes Supported Independent Living)","Each","EA","N","N","","","N","N",44,44
"01_049_0115_1_1","Cross billing payments for residential aged care subsidies and supplements","Cross billing payments for residential aged care subsidies and supplements","Assistance with daily life (includes Supported Independent Living)","Week","WK","N","N","","","N","N",45,45
"01_050_0115_1_1","assistance with daily life tasks provided in residential aged care facility","assistance with daily life tasks provided in residential aged care facility","Assistance with daily life (includes Supported Independent Living)","Each","EA","N","N","","","N","N",46,46
"01_051_0115_1_1","short term accommodation and assistance, Saturday, standard intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","593","616.8","Y","Y",47,47
"01_052_0115_1_1","short term accommodation and assistance, Sunday, standard intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","703","732.8","Y","Y",48,48
