Registration Group,Support Item,Support Item Number,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Accommodation/Tenancy,transitional support,01_001_0101_1_1,Transition to NDIS funding – payment of rent and utility accounts. Short term payment as per participant plan,Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance with self-care - active overnight,01_002_0107_1_1,"Assistance with, or supervision of, personal tasks of daily living where  overnight support is needed and the care giver will not have the option to sleep",Hour,N,63.34,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance from live-in carer,01_003_0107_1_1,"A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance with personal domestic activities,01_004_0107_1_1,Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home & has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house & yard work.,Hour,N,56.93,Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,assistance with self-care activities on Public Holidays - higher intensity,01_005_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,127.59,Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,assistance with self-care activities on Saturdays - higher intensity,01_006_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,82.49,Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,assistance with self-care activities on Sundays - higher intensity,01_007_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,104.72,Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,assistance with self-care activities during daytime weekdays - higher intensity,01_008_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,60.85,Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,assistance with self-care activities per weekday evening - higher intensity,01_009_0104_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,66.25,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance with self-care - night-time sleepover,01_010_0107_1_1,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support.",Each,N,243.48,Y,Assistance with daily life (includes Supported Independent Living),1
