"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure","Quote","Price Limit","Price Control","Line number"
"01_900101023_0130_1_2","assistance dog (including guide dog)","assistance dog (including guide dog)","Assistance with daily life (includes Supported Independent Living)","Each","Y","","N",60
"05_053603007_0103_1_2","standing frame- child under 5","apparatus to hold a person in a standing position","Assistive technology","Each","N","","N",146
"05_061203014_0135_1_2","custom foot supports","Foot supports or restraints for a wheelchair where conventional supports do not suffice.","Assistive technology","Each","N","","N",152
"05_091203050_0103_1_2","bedside commode bari 650mm w","","Assistive technology","Each","N","","N",192
"05_120606092_0105_1_2","wheeled walker - with frame 6 wheel","","Assistive technology","Each","N","","N",235
"05_120606093_0105_1_2","wheeled walker - with frame junior gutter","","Assistive technology","Each","N","","N",236
"05_120606094_0105_1_2","wheeled walker - with frame adult gutter","","Assistive technology","Each","N","","N",237
"05_120606098_0105_1_2","rollator with supports","","Assistive technology","Each","N","","N",241
"05_122203109_0105_1_2","wheelchair- manual custom child folding","frame is made to individual measurements","Assistive technology","Each","Y","","N",270
"05_122203116_0105_1_2","wheelchair- manual tilt in space- child","Manual frame with seat and back rest able to be tipped as a unit past 90 degrees","Assistive technology","Each","Y","","N",277
"05_122306126_0105_1_2","wheelchair- powered basic adult MWD","mid wheel drive","Assistive technology","Each","Y","","N",289
"05_122306128_0105_1_2","wheelchair- powered basic child MWD","mid wheel drive","Assistive technology","Each","Y","","N",291
"05_122306130_0105_1_2","wheelchair- powered tilt in space adult MWD","mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees","Assistive technology","Each","Y","","N",293
"05_122306133_0105_1_2","wheelchair- powered tilt in space child MWD","mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees","Assistive technology","Each","Y","","N",296
"05_122306135_0105_1_2","wheelchair- powered TIS, recline adult MWD","Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.","Assistive technology","Each","Y","","N",298
"05_122306137_0105_1_2","wheelchair- powered TIS, recline child MWD","Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.","Assistive technology","Each","Y","","N",300
"05_180939185_0103_1_2","child postural chair- feeding, minimum components","feeding seat for a child with basic supports","Assistive technology","Each","N","","N",349
